id,name,creator_id,type_id,created_at
399f0be6-9caa-4c2a-9360-88c55830d93a,Direct Chat,6db3a2c3-08c2-4426-a408-63895f4324c1,1,2025-05-12 00:05:37.887132+00
b3d4d7ff-d43e-4b0d-8f92-7359b23fb5eb,Project Alpha Team,6db3a2c3-08c2-4426-a408-63895f4324c1,2,2025-05-11 17:17:02.275503+00
b4771ea7-067b-452e-b89e-28b06ce4a0b7,DM 6db3a2c3-08c2-4426-a408-63895f4324c1↔f874f41c-2605-4803-ae57-5eadd3abf3d1,6db3a2c3-08c2-4426-a408-63895f4324c1,1,2025-05-11 17:16:15.330404+00
c72605ee-1ac2-466b-b794-4fcafb6f1011,Direct Chat,6db3a2c3-08c2-4426-a408-63895f4324c1,1,2025-05-11 23:36:26.878582+00
